nombre_completo,cargo_de_eleccion,ingresos_privados,tope_de_gastos,porcentaje_ingresos_privados_tope
Maria Antonieta Perez Reyes,Diputado Federal MR,414513.92000000004,1432111,28.944259208957966
Manuel Jesus Clouthier Carrillo,Senadores MR,2251139.92,10024777,22.455760562055392
Daniel Altafi Valladares,Diputado Federal MR,319350,1432111,22.299249150380103
Raul Guajardo Cantu,Diputado Federal MR,206833.87,1432111,14.442586503420474
Pablo Ricardo Montaño Beckmann,Diputado Federal MR,205936.42000000004,1432111,14.3799202715432
Luisa Maria De Guadalupe Calderon Hinojosa,Diputado Federal MR,192305.86,1432111,13.428139299258227
Alejandro Eric Cruz Juarez,Diputado Federal MR,185774,1432111,12.97203917852736
Martha Beatriz Cordova Bernal,Diputado Federal MR,160900,1432111,11.235162637532985
Luis Angel Benavides Garza,Diputado Federal MR,145820.44999999995,1432111,10.182203055489412
Rodrigo Cerda Cornejo,Diputado Federal MR,141934.47999999998,1432111,9.91085746845042
Ivan Antonio Perez Ruiz,Diputado Federal MR,138000,1432111,9.636124574142647
Jurgen Ganser Carbajal,Diputado Federal MR,136940,1432111,9.562107965094885
Alberto Valencia Bañuelos,Diputado Federal MR,136351.68999999994,1432111,9.521028048803476
Jesus Humberto Alfaro Bedoya,Diputado Federal MR,113902.38,1432111,7.953460311386477
Enrique Alonso Plascencia,Diputado Federal MR,109430,1432111,7.641167479336448
Yamilett Orduña Saide,Diputado Federal MR,102170.80000000005,1432111,7.1342793959406805
Pablo Abner Salazar Mendiguchia,Senadores MR,1294272.5499999998,18617443,6.9519350750798585
Daniela Gonzalez Rodriguez,Diputado Federal MR,96265.47999999998,1432111,6.721928677316212
Jose Terencio Valenzuela Gallegos,Diputado Federal MR,95234.46999999997,1432111,6.649936352698916
Mario Hernandez Herrera,Diputado Federal MR,92851.18999999994,1432111,6.483519084763676
Carlos Alberto Manzo Rodriguez,Diputado Federal MR,89400.09999999998,1432111,6.242539858991376
Angel Alberto Barroso Correa,Diputado Federal MR,82406.91000000003,1432111,5.754226453117114
Obed Javier Cruz Perez,Senadores MR,244242.29000000004,4296333,5.684901286748491
Jose Pedro Kumamoto Aguilar,Senadores MR,1507530.9299999997,28642220,5.2633173336424335
Daniel Nieto Martinez,Diputado Federal MR,64550,1432111,4.507332183050057
Julio Cesar Osorio Perez,Diputado Federal MR,63900,1432111,4.461944639766052
Rolando Ivan Valdez Hernandez,Diputado Federal MR,56974.25,1432111,3.9783403660749763
Olga Valentina Treviño Hinojosa,Diputado Federal MR,56259.44999999995,1432111,3.9284280338605004
Anibal Gomez Marquina,Diputado Federal MR,56000,1432111,3.910311421391219
Julio Hugo Sanchez Quiroz,Diputado Federal MR,53710.109999999986,1432111,3.750415296021048
Obilfrido Gomez Alvarez,Diputado Federal MR,53000,1432111,3.700830452388118
Margarita Ester Zavala Gomez Del Campo,Presidente,14845691.36,429633325,3.4554329229465615
Victor Joel Echeverria Valenzuela,Diputado Federal MR,42000,1432111,2.932733566043414
David Eugenio Elizondo Cantu,Diputado Federal MR,39260.45999999996,1432111,2.74143973476916
Jesus Siller Rojas,Diputado Federal MR,38458.630000000005,1432111,2.6854503596439105
Lorenzo Ricardo Garcia De Leon Coria,Senadores MR,75304.00999999978,2864222,2.6291261641031936
Jaime Heliodoro Rodriguez Calderon,Presidente,10135803.53,429633325,2.3591753572654075
Gregorio Farias Mateos,Diputado Federal MR,32477.839999999967,1432111,2.2678297981092226
Maria Graciela Parra Lopez,Diputado Federal MR,27787,1432111,1.9402825618963893
Nora Vanessa Estrada Calles,Diputado Federal MR,26570,1432111,1.855303115470798
Iris Paola Gomez De La Cruz,Diputado Federal MR,24889.349999999977,1432111,1.7379483852857758
Raul Gonzalez Rodriguez,Senadores MR,288732.43000000017,17185332,1.6801097005283352
Juana Adelfa Delgado Quintana,Senadores MR,380516.52,28642220,1.3285161555214646
Carlos Arturo Cordova Cobos,Diputado Federal MR,10000,1432111,0.6982698966770033
Jose Guadalupe Hernandez Vieyra,Senadores MR,52171.58,12888999,0.40477604195640016
Monica Gricelda Garza Candia,Senadores MR,49535.66,17185332,0.2882438349168931
Soledad Romero Espinal,Senadores MR,29357.5,12888999,0.22777176101883476
Juan Jesus Antonio Manzur Oudie,Diputado Federal MR,1000,1432111,0.06982698966770035
Paul Alfonso Lopez De Santa Anna Baeza,Diputado Federal MR,0,1432111,0
Pedro Gustavo Barragan Nuño,Diputado Federal MR,0,1432111,0
